date_variable,nhs_board_name,location_name,variable_1,variable_2,variable_3,variable_4,variable_5,variable_6
2016-03-06,NHS Ayrshire & Arran,Location1,122.4,240,396,494.4,660,748.8
2016-03-06,NHS Ayrshire & Arran,Location2,92.7,183.6,275.4,374.4,459,594
2016-03-06,NHS Borders,Location3,124.8,247.2,367.2,528,618,734.4
2016-03-06,NHS Dumfries & Galloway,Location4,91.8,187.2,278.1,367.2,468,550.8
2016-03-06,NHS Dumfries & Galloway,Location5,123.6,244.8,374.4,489.6,612,741.6
2016-03-06,NHS Fife,Location6,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-06,NHS Forth Valley,Location7,132,249.6,370.8,499.2,624,734.4
2016-03-06,NHS Grampian,Location8,91.8,198,280.8,367.2,495,556.2
2016-03-06,NHS Grampian,Location9,123.6,244.8,396,494.4,612,748.8
2016-03-06,NHS Grampian,Location10,93.6,185.4,275.4,374.4,459,594
2016-03-06,NHS Greater Glasgow & Clyde,Location11,122.4,249.6,370.8,528,618,734.4
2016-03-06,NHS Greater Glasgow & Clyde,Location12,123.6,244.8,374.4,489.6,624,741.6
2016-03-06,NHS Greater Glasgow & Clyde,Location13,93.6,185.4,275.4,370.8,459,561.6
2016-03-06,NHS Greater Glasgow & Clyde,Location14,132,249.6,370.8,499.2,618,734.4
2016-03-06,NHS Greater Glasgow & Clyde,Location15,91.8,198,280.8,367.2,468,556.2
2016-03-06,NHS Highland,Location16,122.4,244.8,396,494.4,660,748.8
2016-03-06,NHS Highland,Location17,92.7,183.6,275.4,374.4,459,594
2016-03-06,NHS Highland,Location18,124.8,247.2,367.2,528,618,734.4
2016-03-06,NHS Highland,Location19,91.8,187.2,278.1,367.2,468,550.8
2016-03-06,NHS Lanarkshire,Location20,123.6,244.8,374.4,489.6,612,741.6
2016-03-06,NHS Lanarkshire,Location21,93.6,185.4,275.4,370.8,463.5,561.6
2016-03-06,NHS Lanarkshire,Location22,132,249.6,370.8,499.2,624,734.4
2016-03-06,NHS Lothian,Location23,122.4,264,374.4,489.6,660,741.6
2016-03-06,NHS Lothian,Location24,92.7,183.6,297,370.8,459,561.6
2016-03-06,NHS Lothian,Location25,124.8,247.2,367.2,499.2,612,792
2016-03-06,NHS Orkney,Location26,91.8,187.2,278.1,396,463.5,550.8
2016-03-06,NHS Shetland,Location27,123.6,244.8,374.4,489.6,624,741.6
2016-03-06,NHS Tayside,Location29,132,249.6,370.8,499.2,618,734.4
2016-03-06,NHS Western Isles,Location30,91.8,198,280.8,367.2,468,556.2
2016-03-06,NHS Ayrshire & Arran,NHS Ayrshire & Arran,122.4,244.8,396,494.4,660,748.8
2016-03-06,NHS Borders,NHS Borders,92.7,183.6,275.4,374.4,459,594
